iso2,year,sex,age,cases
MA,2006,m,0-14,73
MA,2007,m,0-14,74
MA,2008,m,0-14,51
MD,2005,m,0-14,2
MD,2007,m,0-14,0
MD,2008,m,0-14,1
ME,2005,m,0-14,0
ME,2006,m,0-14,0
ME,2007,m,0-14,0
ME,2008,m,0-14,0
MG,2007,m,0-14,196
MG,2008,m,0-14,142
MH,2007,m,0-14,0
MH,2008,m,0-14,1
MK,2005,m,0-14,2
MK,2006,m,0-14,0
MK,2007,m,0-14,1
MK,2008,m,0-14,1
ML,2008,m,0-14,22
MO,2007,m,0-14,0
MO,2008,m,0-14,1
MP,2007,m,0-14,0
MP,2008,m,0-14,0
MT,2005,m,0-14,0
MT,2006,m,0-14,0
MT,2007,m,0-14,0
MT,2008,m,0-14,0
MU,2007,m,0-14,0
MU,2008,m,0-14,0
MV,2007,m,0-14,0
MV,2008,m,0-14,0
MW,2007,m,0-14,61
MW,2008,m,0-14,56
MX,2006,m,0-14,129
MX,2007,m,0-14,145
MX,2008,m,0-14,124
MY,2007,m,0-14,216
MY,2008,m,0-14,221
NC,2008,m,0-14,0
NE,2008,m,0-14,35
NI,2006,m,0-14,15
NI,2007,m,0-14,16
NL,2005,m,0-14,0
NL,2006,m,0-14,0
NL,2007,m,0-14,1
NL,2008,m,0-14,0
NO,2005,m,0-14,0
NO,2006,m,0-14,0
NO,2008,m,0-14,1
NP,2006,m,0-14,125
NP,2007,m,0-14,150
NR,2006,m,0-14,0
NR,2007,m,0-14,1
NR,2008,m,0-14,0
NU,2006,m,0-14,0
NU,2007,m,0-14,0
NZ,2006,m,0-14,5
NZ,2007,m,0-14,0
NZ,2008,m,0-14,0
OM,2006,m,0-14,6
OM,2008,m,0-14,0
PA,2008,m,0-14,9
PE,2006,m,0-14,400
PE,2007,m,0-14,395
PE,2008,m,0-14,84
PF,2008,m,0-14,1
PL,2005,m,0-14,3
PL,2006,m,0-14,1
PL,2007,m,0-14,2
PL,2008,m,0-14,6
PR,2007,m,0-14,0
PR,2008,m,0-14,0
PS,2006,m,0-14,0
PS,2007,m,0-14,1
PS,2008,m,0-14,0
PT,2005,m,0-14,5
PT,2006,m,0-14,7
PT,2007,m,0-14,4
PT,2008,m,0-14,2
PW,2006,m,0-14,1
PW,2007,m,0-14,0
PY,2006,m,0-14,20
PY,2007,m,0-14,14
PY,2008,m,0-14,11
QA,2007,m,0-14,0
QA,2008,m,0-14,1
RO,2005,m,0-14,36
RO,2006,m,0-14,30
RO,2007,m,0-14,25
RO,2008,m,0-14,22
RS,2005,m,0-14,3
RS,2006,m,0-14,6
RS,2007,m,0-14,0
RS,2008,m,0-14,1
RU,2007,m,0-14,20
RU,2008,m,0-14,12
RW,2007,m,0-14,51
RW,2008,m,0-14,33
SA,2008,m,0-14,16
SB,2007,m,0-14,5
SB,2008,m,0-14,3
SC,2008,m,0-14,0
SD,2006,m,0-14,297
SD,2008,m,0-14,317
SE,2005,m,0-14,0
SE,2006,m,0-14,0
SE,2007,m,0-14,0
SE,2008,m,0-14,0
SG,2006,m,0-14,2
SG,2007,m,0-14,0
SG,2008,m,0-14,0
SI,2005,m,0-14,0
SI,2006,m,0-14,0
SI,2007,m,0-14,0
SI,2008,m,0-14,0
SK,2005,m,0-14,0
SK,2006,m,0-14,4
SK,2007,m,0-14,0
SK,2008,m,0-14,0
SL,2007,m,0-14,45
SN,2008,m,0-14,67
SR,2006,m,0-14,5
ST,2006,m,0-14,0
ST,2007,m,0-14,0
SV,2007,m,0-14,8
SV,2008,m,0-14,8
SY,2006,m,0-14,8
SY,2007,m,0-14,7
SY,2008,m,0-14,18
SZ,2008,m,0-14,29
TC,2006,m,0-14,0
TJ,2005,m,0-14,8
TJ,2008,m,0-14,7
TK,2007,m,0-14,0
TM,2005,m,0-14,2
TM,2007,m,0-14,2
TO,2006,m,0-14,0
TO,2007,m,0-14,0
TO,2008,m,0-14,0
TR,2005,m,0-14,33
TR,2006,m,0-14,40
TR,2007,m,0-14,50
TR,2008,m,0-14,48
TT,2007,m,0-14,1
TT,2008,m,0-14,2
TV,2006,m,0-14,0
TV,2008,m,0-14,2
UA,2007,m,0-14,14
UA,2008,m,0-14,9
UG,2008,m,0-14,269
US,2006,m,0-14,12
US,2007,m,0-14,12
US,2008,m,0-14,11
UY,2008,m,0-14,1
UZ,2005,m,0-14,25
UZ,2006,m,0-14,19
UZ,2007,m,0-14,18
UZ,2008,m,0-14,10
VC,2007,m,0-14,0
VE,2006,m,0-14,10
VE,2007,m,0-14,17
VE,2008,m,0-14,18
VU,2008,m,0-14,0
WF,2007,m,0-14,0
WS,2008,m,0-14,0
ZA,2006,m,0-14,2062
ZA,2007,m,0-14,1909
ZA,2008,m,0-14,1863
ZW,2007,m,0-14,138
AD,2005,m,15-24,0
AD,2006,m,15-24,1
AD,2008,m,15-24,0
AE,2006,m,15-24,5
AE,2007,m,15-24,5
AE,2008,m,15-24,6
AG,2007,m,15-24,0
AL,2005,m,15-24,26
AL,2006,m,15-24,24
AL,2007,m,15-24,19
AL,2008,m,15-24,23
AM,2005,m,15-24,170
AM,2006,m,15-24,113
AM,2007,m,15-24,81
AM,2008,m,15-24,53
AN,2006,m,15-24,0
AR,2006,m,15-24,519
AR,2007,m,15-24,656
AR,2008,m,15-24,633
AT,2005,m,15-24,32
AT,2006,m,15-24,9
AU,2006,m,15-24,33
AU,2007,m,15-24,30
AZ,2005,m,15-24,109
AZ,2006,m,15-24,241
BA,2005,m,15-24,22
BA,2006,m,15-24,40
BA,2007,m,15-24,0
BA,2008,m,15-24,20
BB,2007,m,15-24,0
BB,2008,m,15-24,0
BE,2005,m,15-24,26
BE,2006,m,15-24,26
BE,2007,m,15-24,23
BE,2008,m,15-24,23
BF,2007,m,15-24,233
BG,2005,m,15-24,98
BG,2007,m,15-24,63
BG,2008,m,15-24,80
BH,2008,m,15-24,17
BI,2007,m,15-24,425
BN,2007,m,15-24,5
BN,2008,m,15-24,10
BR,2006,m,15-24,4783
BR,2007,m,15-24,4399
BR,2008,m,15-24,4436
BS,2007,m,15-24,3
BS,2008,m,15-24,2
BW,2008,m,15-24,254
BZ,2006,m,15-24,4
BZ,2007,m,15-24,6
BZ,2008,m,15-24,8
CA,2006,m,15-24,34
CA,2007,m,15-24,31
CA,2008,m,15-24,39
CH,2005,m,15-24,10
CH,2006,m,15-24,11
CH,2007,m,15-24,11
CH,2008,m,15-24,8
CK,2006,m,15-24,0
CL,2006,m,15-24,107
CL,2007,m,15-24,86
CL,2008,m,15-24,86
CM,2008,m,15-24,1613
CR,2006,m,15-24,27
CR,2007,m,15-24,44
CU,2008,m,15-24,30
CV,2008,m,15-24,23
CY,2005,m,15-24,3
CY,2006,m,15-24,0
CY,2007,m,15-24,2
CY,2008,m,15-24,1
CZ,2005,m,15-24,8
CZ,2006,m,15-24,6
CZ,2007,m,15-24,14
CZ,2008,m,15-24,7
DE,2005,m,15-24,59
DE,2006,m,15-24,78
DE,2007,m,15-24,116
DE,2008,m,15-24,40
DJ,2007,m,15-24,241
DK,2005,m,15-24,12
DK,2006,m,15-24,8
DK,2007,m,15-24,6
DK,2008,m,15-24,8
DM,2006,m,15-24,0
DM,2007,m,15-24,0
DM,2008,m,15-24,0
DO,2008,m,15-24,322
EE,2005,m,15-24,9
EE,2006,m,15-24,4
EE,2007,m,15-24,6
EE,2008,m,15-24,3
EG,2006,m,15-24,542
EG,2008,m,15-24,581
ER,2007,m,15-24,56
ES,2005,m,15-24,166
ES,2006,m,15-24,142
ES,2007,m,15-24,184
ES,2008,m,15-24,179
FI,2005,m,15-24,5
FI,2006,m,15-24,5
FI,2007,m,15-24,4
FI,2008,m,15-24,3
FJ,2006,m,15-24,8
FM,2006,m,15-24,21
FM,2008,m,15-24,9
FR,2005,m,15-24,127
FR,2006,m,15-24,137
FR,2007,m,15-24,120
FR,2008,m,15-24,73
GA,2008,m,15-24,209
GB,2005,m,15-24,135
GB,2006,m,15-24,173
GB,2007,m,15-24,183
GB,2008,m,15-24,125
GD,2006,m,15-24,0
GE,2005,m,15-24,226
GE,2006,m,15-24,315
GE,2007,m,15-24,277
GE,2008,m,15-24,710
GM,2006,m,15-24,126
GM,2008,m,15-24,151
GR,2005,m,15-24,14
GR,2006,m,15-24,11
GR,2007,m,15-24,21
GR,2008,m,15-24,5
GT,2007,m,15-24,169
GT,2008,m,15-24,220
GU,2007,m,15-24,0
GU,2008,m,15-24,0
GY,2008,m,15-24,29
HK,2005,m,15-24,76
HK,2006,m,15-24,75
HK,2007,m,15-24,63
HK,2008,m,15-24,59
HN,2006,m,15-24,213
HN,2007,m,15-24,204
HN,2008,m,15-24,254
HR,2005,m,15-24,24
HR,2006,m,15-24,20
HR,2008,m,15-24,15
HT,2007,m,15-24,1166
HT,2008,m,15-24,1137
HU,2005,m,15-24,6
HU,2006,m,15-24,10
HU,2007,m,15-24,7
HU,2008,m,15-24,12
ID,2007,m,15-24,14835
ID,2008,m,15-24,15339
IE,2005,m,15-24,6
IE,2006,m,15-24,8
IE,2007,m,15-24,26
IE,2008,m,15-24,9
IL,2005,m,15-24,5
IL,2006,m,15-24,3
IL,2007,m,15-24,9
IL,2008,m,15-24,14
IQ,2006,m,15-24,409
IQ,2007,m,15-24,319
IQ,2008,m,15-24,348
IR,2006,m,15-24,357
IR,2007,m,15-24,311
IR,2008,m,15-24,292
IS,2005,m,15-24,0
IS,2006,m,15-24,0
IS,2007,m,15-24,0
IS,2008,m,15-24,0
IT,2005,m,15-24,93
IT,2006,m,15-24,113
IT,2007,m,15-24,75
IT,2008,m,15-24,78
JM,2006,m,15-24,9
JM,2008,m,15-24,2
JO,2006,m,15-24,9
JO,2007,m,15-24,7
JO,2008,m,15-24,13
JP,2007,m,15-24,142
JP,2008,m,15-24,117
KE,2007,m,15-24,4752
KE,2008,m,15-24,4709
KG,2005,m,15-24,247
KI,2007,m,15-24,15
KI,2008,m,15-24,30
KM,2006,m,15-24,12
KM,2008,m,15-24,11
KN,2008,m,15-24,0
KP,2008,m,15-24,2341
KR,2006,m,15-24,652
KR,2007,m,15-24,589
KR,2008,m,15-24,492
KW,2007,m,15-24,16
KW,2008,m,15-24,18
KY,2006,m,15-24,0
KY,2007,m,15-24,0
KZ,2005,m,15-24,917
KZ,2007,m,15-24,881
KZ,2008,m,15-24,897
LB,2006,m,15-24,11
LB,2007,m,15-24,12
LB,2008,m,15-24,9
LC,2008,m,15-24,2
LR,2008,m,15-24,129
LS,2007,m,15-24,32
LS,2008,m,15-24,223
LT,2005,m,15-24,42
LT,2006,m,15-24,38
LT,2007,m,15-24,31
LT,2008,m,15-24,39
LU,2005,m,15-24,0
LU,2006,m,15-24,0
LU,2007,m,15-24,0
LU,2008,m,15-24,0
LV,2005,m,15-24,22
LV,2006,m,15-24,27
LV,2008,m,15-24,28
LY,2006,m,15-24,98
LY,2008,m,15-24,116
MA,2006,m,15-24,2104
MA,2007,m,15-24,2098
MA,2008,m,15-24,1992
MD,2005,m,15-24,211
MD,2007,m,15-24,181
MD,2008,m,15-24,167
ME,2005,m,15-24,3
ME,2006,m,15-24,0
ME,2007,m,15-24,0
ME,2008,m,15-24,2
MG,2007,m,15-24,1473
MG,2008,m,15-24,1499
MH,2007,m,15-24,1
MH,2008,m,15-24,1
MK,2005,m,15-24,14
MK,2006,m,15-24,15
MK,2007,m,15-24,12
MK,2008,m,15-24,18
ML,2008,m,15-24,453
MO,2007,m,15-24,14
MO,2008,m,15-24,18
MP,2007,m,15-24,0
MP,2008,m,15-24,1
MT,2005,m,15-24,1
MT,2006,m,15-24,1
MT,2007,m,15-24,0
MT,2008,m,15-24,3
MU,2007,m,15-24,9
MU,2008,m,15-24,11
MV,2007,m,15-24,14
MV,2008,m,15-24,9
MW,2007,m,15-24,614
MW,2008,m,15-24,570
MX,2006,m,15-24,986
MX,2007,m,15-24,981
MX,2008,m,15-24,966
MY,2007,m,15-24,1291
MY,2008,m,15-24,1436
NC,2008,m,15-24,1
NE,2008,m,15-24,659
NI,2006,m,15-24,162
NI,2007,m,15-24,172
NL,2005,m,15-24,23
NL,2006,m,15-24,25
NL,2007,m,15-24,10
NL,2008,m,15-24,16
NO,2005,m,15-24,9
NO,2006,m,15-24,5
NO,2008,m,15-24,10
NP,2006,m,15-24,1914
NP,2007,m,15-24,2025
NR,2006,m,15-24,1
NR,2007,m,15-24,1
NR,2008,m,15-24,1
NU,2006,m,15-24,0
NU,2007,m,15-24,0
NZ,2006,m,15-24,14
NZ,2007,m,15-24,11
NZ,2008,m,15-24,9
OM,2006,m,15-24,18
OM,2008,m,15-24,18
PA,2008,m,15-24,95
PE,2006,m,15-24,4071
PE,2007,m,15-24,3436
PE,2008,m,15-24,3406
PF,2008,m,15-24,3
PL,2005,m,15-24,109
PL,2006,m,15-24,92
PL,2007,m,15-24,85
PL,2008,m,15-24,66
PR,2007,m,15-24,6
PR,2008,m,15-24,2
PS,2006,m,15-24,1
PS,2007,m,15-24,1
PS,2008,m,15-24,1
PT,2005,m,15-24,85
PT,2006,m,15-24,80
PT,2007,m,15-24,69
PT,2008,m,15-24,51
PW,2006,m,15-24,0
PW,2007,m,15-24,0
PY,2006,m,15-24,188
PY,2007,m,15-24,171
PY,2008,m,15-24,238
QA,2007,m,15-24,26
QA,2008,m,15-24,47
RO,2005,m,15-24,752
RO,2006,m,15-24,748
RO,2007,m,15-24,706
RO,2008,m,15-24,671
RS,2005,m,15-24,62
RS,2006,m,15-24,87
RS,2007,m,15-24,42
RS,2008,m,15-24,37
RU,2007,m,15-24,2492
RU,2008,m,15-24,2495
RW,2007,m,15-24,523
RW,2008,m,15-24,528
SA,2008,m,15-24,295
SB,2007,m,15-24,15
SB,2008,m,15-24,17
SC,2008,m,15-24,0
SD,2006,m,15-24,1351
SD,2008,m,15-24,1241
SE,2005,m,15-24,7
SE,2006,m,15-24,4
SE,2007,m,15-24,7
SE,2008,m,15-24,14
SG,2006,m,15-24,7
SG,2007,m,15-24,15
SG,2008,m,15-24,10
SI,2005,m,15-24,4
SI,2006,m,15-24,3
SI,2007,m,15-24,0
SI,2008,m,15-24,3
SK,2005,m,15-24,3
SK,2006,m,15-24,8
SK,2007,m,15-24,8
SK,2008,m,15-24,2
SL,2007,m,15-24,538
SN,2008,m,15-24,1274
SR,2006,m,15-24,6
ST,2006,m,15-24,5
ST,2007,m,15-24,4
SV,2007,m,15-24,79
SV,2008,m,15-24,107
SY,2006,m,15-24,225
SY,2007,m,15-24,198
SY,2008,m,15-24,170
SZ,2008,m,15-24,231
TC,2006,m,15-24,1
TJ,2005,m,15-24,308
TJ,2008,m,15-24,437
TK,2007,m,15-24,0
TM,2005,m,15-24,148
TM,2007,m,15-24,176
TO,2006,m,15-24,1
TO,2007,m,15-24,2
TO,2008,m,15-24,2
TR,2005,m,15-24,1148
TR,2006,m,15-24,1212
TR,2007,m,15-24,1091
TR,2008,m,15-24,940
TT,2007,m,15-24,10
TT,2008,m,15-24,9
TV,2006,m,15-24,1
TV,2008,m,15-24,2
UA,2007,m,15-24,1556
UA,2008,m,15-24,901
UG,2008,m,15-24,1953
US,2006,m,15-24,388
US,2007,m,15-24,414
US,2008,m,15-24,375
UY,2008,m,15-24,49
UZ,2005,m,15-24,596
UZ,2006,m,15-24,568
UZ,2007,m,15-24,569
UZ,2008,m,15-24,515
VC,2007,m,15-24,0
VE,2006,m,15-24,323
VE,2007,m,15-24,324
VE,2008,m,15-24,364
VU,2008,m,15-24,4
WF,2007,m,15-24,0
WS,2008,m,15-24,1
ZA,2006,m,15-24,10498
ZA,2007,m,15-24,10514
ZA,2008,m,15-24,10172
ZW,2007,m,15-24,500
AD,2005,m,25-34,1
AD,2006,m,25-34,1
AD,2008,m,25-34,0
AE,2006,m,25-34,3
AE,2007,m,25-34,6
AE,2008,m,25-34,1
AG,2007,m,25-34,0
AL,2005,m,25-34,21
AL,2006,m,25-34,19
AL,2007,m,25-34,13
AL,2008,m,25-34,26
AM,2005,m,25-34,104
AM,2006,m,25-34,116
AM,2007,m,25-34,87
AM,2008,m,25-34,103
AN,2006,m,25-34,0
AR,2006,m,25-34,484
AR,2007,m,25-34,623
AR,2008,m,25-34,611
AT,2005,m,25-34,23
AT,2006,m,25-34,25
AU,2006,m,25-34,35
AU,2007,m,25-34,33
AZ,2005,m,25-34,297
AZ,2006,m,25-34,362
BA,2005,m,25-34,58
BA,2006,m,25-34,58
BA,2007,m,25-34,0
BA,2008,m,25-34,35
BB,2007,m,25-34,0
BB,2008,m,25-34,1
BE,2005,m,25-34,50
BE,2006,m,25-34,52
BE,2007,m,25-34,55
BE,2008,m,25-34,40
BF,2007,m,25-34,442
BG,2005,m,25-34,150
BG,2007,m,25-34,122
BG,2008,m,25-34,145
BH,2008,m,25-34,48
BI,2007,m,25-34,637
BN,2007,m,25-34,10
BN,2008,m,25-34,10
BR,2006,m,25-34,6098
BR,2007,m,25-34,5990
BR,2008,m,25-34,6173
BS,2007,m,25-34,3
BS,2008,m,25-34,6
BW,2008,m,25-34,528
BZ,2006,m,25-34,4
BZ,2007,m,25-34,8
BZ,2008,m,25-34,12
CA,2006,m,25-34,34
CA,2007,m,25-34,41
CA,2008,m,25-34,36
CH,2005,m,25-34,9
CH,2006,m,25-34,15
CH,2007,m,25-34,10
CH,2008,m,25-34,13
CK,2006,m,25-34,0
CL,2006,m,25-34,140
CL,2007,m,25-34,137
CL,2008,m,25-34,131
CM,2008,m,25-34,2861
CR,2006,m,25-34,36
CR,2007,m,25-34,57
CU,2008,m,25-34,66
CV,2008,m,25-34,33
CY,2005,m,25-34,1
CY,2006,m,25-34,1
CY,2007,m,25-34,1
CY,2008,m,25-34,0
CZ,2005,m,25-34,24
CZ,2006,m,25-34,19
CZ,2007,m,25-34,26
CZ,2008,m,25-34,29
DE,2005,m,25-34,113
DE,2006,m,25-34,138
DE,2007,m,25-34,248
DE,2008,m,25-34,95
DJ,2007,m,25-34,264
DK,2005,m,25-34,12
DK,2006,m,25-34,13
DK,2007,m,25-34,12
DK,2008,m,25-34,15
DM,2006,m,25-34,1
DM,2007,m,25-34,0
DM,2008,m,25-34,0
DO,2008,m,25-34,398
EE,2005,m,25-34,25
EE,2006,m,25-34,19
EE,2007,m,25-34,26
EE,2008,m,25-34,14
EG,2006,m,25-34,728
EG,2008,m,25-34,640
ER,2007,m,25-34,85
ES,2005,m,25-34,394
ES,2006,m,25-34,332
ES,2007,m,25-34,375
ES,2008,m,25-34,355
FI,2005,m,25-34,4
FI,2006,m,25-34,6
FI,2007,m,25-34,5
FI,2008,m,25-34,5
FJ,2006,m,25-34,11
FM,2006,m,25-34,3
FM,2008,m,25-34,3
FR,2005,m,25-34,212
FR,2006,m,25-34,214
FR,2007,m,25-34,225
FR,2008,m,25-34,136
GA,2008,m,25-34,297
GB,2005,m,25-34,200
GB,2006,m,25-34,244
GB,2007,m,25-34,286
GB,2008,m,25-34,188
GD,2006,m,25-34,1
GE,2005,m,25-34,272
GE,2006,m,25-34,392
GE,2007,m,25-34,388
GE,2008,m,25-34,974
GM,2006,m,25-34,284
GM,2008,m,25-34,307
GR,2005,m,25-34,25
GR,2006,m,25-34,32
GR,2007,m,25-34,22
GR,2008,m,25-34,14
GT,2007,m,25-34,207
GT,2008,m,25-34,257
GU,2007,m,25-34,0
GU,2008,m,25-34,1
GY,2008,m,25-34,51
HK,2005,m,25-34,84
HK,2006,m,25-34,84
HK,2007,m,25-34,80
HK,2008,m,25-34,79
HN,2006,m,25-34,297
HN,2007,m,25-34,293
HN,2008,m,25-34,263
HR,2005,m,25-34,27
HR,2006,m,25-34,23
HR,2008,m,25-34,25
HT,2007,m,25-34,1199
HT,2008,m,25-34,1337
HU,2005,m,25-34,24
HU,2006,m,25-34,31
HU,2007,m,25-34,31
HU,2008,m,25-34,23
ID,2007,m,25-34,21297
ID,2008,m,25-34,22325
IE,2005,m,25-34,10
IE,2006,m,25-34,18
IE,2007,m,25-34,49
IE,2008,m,25-34,18
IL,2005,m,25-34,10
IL,2006,m,25-34,12
IL,2007,m,25-34,20
IL,2008,m,25-34,25
IQ,2006,m,25-34,593
IQ,2007,m,25-34,531
IQ,2008,m,25-34,525
IR,2006,m,25-34,495
IR,2007,m,25-34,511
IR,2008,m,25-34,466
IS,2005,m,25-34,0
IS,2006,m,25-34,0
IS,2007,m,25-34,0
IS,2008,m,25-34,1
IT,2005,m,25-34,191
IT,2006,m,25-34,201
IT,2007,m,25-34,170
IT,2008,m,25-34,148
JM,2006,m,25-34,10
JM,2008,m,25-34,10
JO,2006,m,25-34,23
JO,2007,m,25-34,20
JO,2008,m,25-34,10
JP,2007,m,25-34,372
JP,2008,m,25-34,339
KE,2007,m,25-34,8132
KE,2008,m,25-34,8128
KG,2005,m,25-34,303
KI,2007,m,25-34,7
KI,2008,m,25-34,9
KM,2006,m,25-34,9
KM,2008,m,25-34,11
KN,2008,m,25-34,0
KP,2008,m,25-34,3320
KR,2006,m,25-34,1109
KR,2007,m,25-34,953
KR,2008,m,25-34,865
KW,2007,m,25-34,69
KW,2008,m,25-34,90
KY,2006,m,25-34,0
KY,2007,m,25-34,0
KZ,2005,m,25-34,1142
KZ,2007,m,25-34,976
KZ,2008,m,25-34,968
LB,2006,m,25-34,12
LB,2007,m,25-34,19
LB,2008,m,25-34,14
LC,2008,m,25-34,0
LR,2008,m,25-34,412
LS,2007,m,25-34,135
LS,2008,m,25-34,615
LT,2005,m,25-34,118
LT,2006,m,25-34,120
LT,2007,m,25-34,77
LT,2008,m,25-34,110
LU,2005,m,25-34,2
LU,2006,m,25-34,3
LU,2007,m,25-34,0
LU,2008,m,25-34,0
LV,2005,m,25-34,71
LV,2006,m,25-34,78
LV,2008,m,25-34,54
LY,2006,m,25-34,247
LY,2008,m,25-34,298
MA,2006,m,25-34,2373
MA,2007,m,25-34,2370
MA,2008,m,25-34,2372
MD,2005,m,25-34,337
MD,2007,m,25-34,281
MD,2008,m,25-34,271
ME,2005,m,25-34,5
ME,2006,m,25-34,7
ME,2007,m,25-34,6
ME,2008,m,25-34,7
MG,2007,m,25-34,2353
MG,2008,m,25-34,2294
MH,2007,m,25-34,1
MH,2008,m,25-34,1
MK,2005,m,25-34,20
MK,2006,m,25-34,15
MK,2007,m,25-34,22
MK,2008,m,25-34,21
ML,2008,m,25-34,809
MO,2007,m,25-34,12
MO,2008,m,25-34,12
MP,2007,m,25-34,0
MP,2008,m,25-34,0
MT,2005,m,25-34,1
MT,2006,m,25-34,0
MT,2007,m,25-34,2
MT,2008,m,25-34,6
MU,2007,m,25-34,9
MU,2008,m,25-34,15
MV,2007,m,25-34,4
MV,2008,m,25-34,11
MW,2007,m,25-34,1454
MW,2008,m,25-34,1562
MX,2006,m,25-34,1320
MX,2007,m,25-34,1286
MX,2008,m,25-34,1292
MY,2007,m,25-34,2224
MY,2008,m,25-34,2445
NC,2008,m,25-34,1
NE,2008,m,25-34,1453
NI,2006,m,25-34,151
NI,2007,m,25-34,194
NL,2005,m,25-34,42
NL,2006,m,25-34,23
NL,2007,m,25-34,22
NL,2008,m,25-34,24
NO,2005,m,25-34,4
NO,2006,m,25-34,10
NO,2008,m,25-34,8
NP,2006,m,25-34,1651
NP,2007,m,25-34,1591
NR,2006,m,25-34,0
NR,2007,m,25-34,0
NR,2008,m,25-34,0
NU,2006,m,25-34,0
NU,2007,m,25-34,0
NZ,2006,m,25-34,5
NZ,2007,m,25-34,1
NZ,2008,m,25-34,4
OM,2006,m,25-34,19
OM,2008,m,25-34,28
PA,2008,m,25-34,117
PE,2006,m,25-34,2470
PE,2007,m,25-34,2239
PE,2008,m,25-34,2233
PF,2008,m,25-34,1
PL,2005,m,25-34,199
PL,2006,m,25-34,215
PL,2007,m,25-34,213
PL,2008,m,25-34,175
PR,2007,m,25-34,2
PR,2008,m,25-34,4
PS,2006,m,25-34,3
PS,2007,m,25-34,3
PS,2008,m,25-34,1
PT,2005,m,25-34,227
PT,2006,m,25-34,211
PT,2007,m,25-34,178
PT,2008,m,25-34,155
PW,2006,m,25-34,1
PW,2007,m,25-34,1
PY,2006,m,25-34,221
PY,2007,m,25-34,221
PY,2008,m,25-34,227
QA,2007,m,25-34,38
QA,2008,m,25-34,67
RO,2005,m,25-34,1511
RO,2006,m,25-34,1306
RO,2007,m,25-34,1149
RO,2008,m,25-34,1124
RS,2005,m,25-34,96
RS,2006,m,25-34,91
RS,2007,m,25-34,59
RS,2008,m,25-34,51
RU,2007,m,25-34,6008
RU,2008,m,25-34,6475
RW,2007,m,25-34,805
RW,2008,m,25-34,811
SA,2008,m,25-34,334
SB,2007,m,25-34,16
SB,2008,m,25-34,12
SC,2008,m,25-34,1
SD,2006,m,25-34,1890
SD,2008,m,25-34,1740
SE,2005,m,25-34,21
SE,2006,m,25-34,15
SE,2007,m,25-34,20
SE,2008,m,25-34,15
SG,2006,m,25-34,31
SG,2007,m,25-34,18
SG,2008,m,25-34,21
SI,2005,m,25-34,10
SI,2006,m,25-34,5
SI,2007,m,25-34,7
SI,2008,m,25-34,12
SK,2005,m,25-34,13
SK,2006,m,25-34,11
SK,2007,m,25-34,10
SK,2008,m,25-34,7
SL,2007,m,25-34,1032
SN,2008,m,25-34,1767
SR,2006,m,25-34,13
ST,2006,m,25-34,8
ST,2007,m,25-34,12
SV,2007,m,25-34,179
SV,2008,m,25-34,168
SY,2006,m,25-34,267
SY,2007,m,25-34,222
SY,2008,m,25-34,212
SZ,2008,m,25-34,552
TC,2006,m,25-34,1
TJ,2005,m,25-34,279
TJ,2008,m,25-34,358
TK,2007,m,25-34,0
TM,2005,m,25-34,181
TM,2007,m,25-34,272
TO,2006,m,25-34,0
TO,2007,m,25-34,1
TO,2008,m,25-34,0
TR,2005,m,25-34,1295
TR,2006,m,25-34,1391
TR,2007,m,25-34,1245
TR,2008,m,25-34,1090
TT,2007,m,25-34,16
TT,2008,m,25-34,15
TV,2006,m,25-34,0
TV,2008,m,25-34,1
UA,2007,m,25-34,4507
UA,2008,m,25-34,2696
UG,2008,m,25-34,4697
US,2006,m,25-34,568
US,2007,m,25-34,490
US,2008,m,25-34,513
UY,2008,m,25-34,71
UZ,2005,m,25-34,831
UZ,2006,m,25-34,807
UZ,2007,m,25-34,768
UZ,2008,m,25-34,688
VC,2007,m,25-34,1
VE,2006,m,25-34,405
VE,2007,m,25-34,382
VE,2008,m,25-34,358
VU,2008,m,25-34,4
WF,2007,m,25-34,0
WS,2008,m,25-34,0
ZA,2006,m,25-34,21273
ZA,2007,m,25-34,21948
ZA,2008,m,25-34,21706
ZW,2007,m,25-34,3693
AD,2005,m,35-44,1
AD,2006,m,35-44,2
AD,2008,m,35-44,0
AE,2006,m,35-44,7
AE,2007,m,35-44,3
AE,2008,m,35-44,7
AG,2007,m,35-44,0
AL,2005,m,35-44,16
AL,2006,m,35-44,22
AL,2007,m,35-44,16
AL,2008,m,35-44,13
AM,2005,m,35-44,83
AM,2006,m,35-44,96
AM,2007,m,35-44,100
AM,2008,m,35-44,74
AN,2006,m,35-44,2
AR,2006,m,35-44,360
AR,2007,m,35-44,401
AR,2008,m,35-44,390
AT,2005,m,35-44,22
AT,2006,m,35-44,36
AU,2006,m,35-44,23
AU,2007,m,35-44,20
AZ,2005,m,35-44,215
AZ,2006,m,35-44,365
BA,2005,m,35-44,61
BA,2006,m,35-44,47
BA,2007,m,35-44,0
BA,2008,m,35-44,38
BB,2007,m,35-44,0
BB,2008,m,35-44,0
BE,2005,m,35-44,32
BE,2006,m,35-44,38
BE,2007,m,35-44,35
BE,2008,m,35-44,43
BF,2007,m,35-44,429
BG,2005,m,35-44,195
BG,2007,m,35-44,181
BG,2008,m,35-44,151
BH,2008,m,35-44,27
BI,2007,m,35-44,542
BN,2007,m,35-44,15
BN,2008,m,35-44,12
BR,2006,m,35-44,6050
